id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral
1357438,ASSOCIACAO DOS CATADORES E RECICLADORES DE PAICANDU,CONTABILIDADE.MAP@OUTLOOK.COM,"ESTRADA COLOMBO GLEBA RIBEIRAO COLOMBO, LOTE  218",44 30234009,Associação Privada,Ativas
1357453,CTEBB - CLUBE DE TIRO ESPORTIVO BERCI BRITO,ALAMBARI_ARMAS@OUTLOOK.COM.BR,"ESTRADA COLORADO, KM    19                  LOTE  05/C-B-2",44 84557013,Associação Privada,Ativas
1357508,ASSOCIACAO KADOSH DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE TRANSTORNOS MENTAIS,RESIDENCIAKADOSH@GMAIL.COM,RUA DESEMBARGADOR JOSE CARLOS RIBEIRO RIBAS,41 98216540,Associação Privada,Ativas
1357538,ASSOCIACAO TIME PANTHERA DE SERRANOPOLIS DO IGUACU - TRILHA DA ONCA PNI,ACERCONT@HOTMAIL.COM,COMUNIDADE LINHA DIVISA DO PARQUE,45 32361300,Associação Privada,Ativas
1357591,ASSOCIACAO PARANAENSE DE ADMINISTRADORES JUDICIAIS - APAJUD,ATILA@ASPSA.COM.BR,AVENIDA PRESIDENTE WASHINGTON LUIZ,41 99671012,Associação Privada,Ativas
1357623,ASSOCIACAO COMUNIDADE MENINO JESUS - ACMJ,CONTABILIDADEVIGANO@HOTMAIL.COM,ESTRADA SANTA MONICA,45 84134862,Associação Privada,Ativas
1357731,ASSOCIACAO DOS RECICLADORES DE QUARTO CENTENARIO - PR - RECICLA - QC,ROGERIO_CASABRANCA@HOTMAIL.COM,RUA MANOEL PRETO,44 98047581,Associação Privada,Ativas
1357658,ASSOCIACAO NATAL ILUMINADO DE DOIS VIZINHOS,JOE.GODOIS@GMAIL.COM,"RUA PARMA, LOTE  JARDIM ITALIA",46 99148323,Associação Privada,Ativas
1357776,ASSOCIACAO DA UNIAO NACIONAL DAS IGREJAS,NTEC@NTECFOZ.COM.BR,"RUA RUI BARBOSA, SALA  101",45 35231131,Associação Privada,Ativas
1358008,MINISTERIO IMERSAO EM CRISTO,GILSONFERRI521@GMAIL.COM,RUA ALCIDIO CUBAS,41 99564402,Organização Religiosa,Ativas
1358200,ASSOCIACAO DOS PROPRIETARIOS DE QUIOSQUES DE MATINHOS,VOLARECONTABILIDADEE@GMAIL.COM,RUA BOM SUCESSO,41 98907146,Associação Privada,Inaptas
1357777,ASSOCIACAO MUNDO DE  YASMIN,ANICETO.COSTA@UOL.COM.BR,"RUA FAUSTINO RIVABEM, CASA  13",41 95658606,Associação Privada,Ativas
1358487,ASSOCIACAO GESA - GERANDO SALVACAO,CAMARGO@CONTABILIDADECAMARGO.COM.BR,RUA ALBINO ORTIGARA,42 98213077,Associação Privada,Ativas
1358490,SOCIEDADE ESPIRITUALISTA E INSTITUICAO RELIGIOSA DE UMBANDA CASA DA VO TONINHA,CASADAVOTONINHA.CVT@GMAIL.COM,RUA JOSE DORIGO,41 96709227,Organização Religiosa,Ativas
1358385,ASSOCIACAO BRASILEIRA DE DEFESA DA LIVRE CONCORRENCIA - ABRADELIVRE,NELLOMORLOTTI@HOTMAIL.COM,"AVENIDA PRESIDENTE AFFONSO CAMARGO, APT   3202                ANDAR 32                  COND  REAL PLAZA ED",41 87141031,Associação Privada,Ativas
1358695,AUGUSTA E RESPEITAVEL LOJA SIMBOLICA ACACIA DO PARANA,ARLSACACIADOPARANA@GMAIL.COM,"AVENIDA NOSSA SENHORA DE FATIMA, SALA  SLA.COM.1-BL1-1PAV.",44 98523084,Associação Privada,Ativas
1358697,ASSOCIACAO CRISTA FERMATA,FERMATAPASTORES@GMAIL.COM,RUA DOUTOR JOAO MOTTER,41 99172811,Associação Privada,Ativas
1358793,ASSOCIACAO ROYALE PREMIUM - CAMPO MOURAO,CONTROLADORIA@CORPALMS.COM.BR,RUA 02,67 34169901,Associação Privada,Ativas
1358750,ASSOCIACAO REAL DOS PEQUENOS AGRICULTORES,VALDIRMST@HOTMAIL.COM,"ESTRADA JURITI, ASSENTAMENTO PONTAL DO TIGRE",44 88473759,Associação Privada,Ativas
1358881,IGREJA PENTECOSTAL APERFEICOANDO EM CRISTO - IPAEC,CHELLAN.TELLRY@HOTMAIL.COM,RUA DIADEMA,42 84443260,Organização Religiosa,Ativas
1359195,ASSOCIACAO RECICLANDO IDEIAS,RECICLANDOIDEIASASSOCICACAO@GMAIL.COM,AVENIDA XV DE NOVEMBRO,41 98205310,Associação Privada,Ativas
1359163,ASSOCIACAO HAITIANA NO ESTADO DO PARANA (AHEP),ASSOCIACAOHAITIANEMESTADO2021@GMAIL.COM,RUA FRANCISCO SILVEIRA DA ROCHA,44 98765495,Associação Privada,Ativas
1359226,COMUNIDADE CRISTA VIDA PLENA,CONTABILIDADE@HATAOKA.COM.BR,AVENIDA AVENIDA PRESIDENTE CASTELO BRANCO,44 97030686,Associação Privada,Ativas
1359308,ASSOCIACAO DE CICLISMO DE REALEZA - ACR,DIEGOGRABOVSKI@HOTMAIL.COM,RUA JOSE DE ALENCAR,46 88031887,Associação Privada,Ativas
1359431,ASSOCIACAO COMUNITARIA MORADIA DOS NOBRES E BOSQUE ESPORTIVO,LAWRENCENOGUEIR@GMAIL.COM,RUA EXPEDICIONARIO FRANCISCO PEREIRA DOS SANTOS,41 32245000,Associação Privada,Inaptas
1359213,INSTITUTO JHONN BARBER,XXX@XXX.COM.BR,"RUA SANTOS DUMONT, SALA  01",42 90000000,Associação Privada,Ativas
1359469,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO EDIFICIO ARIA RESIDENCE,CONTATO@ESCRITORIORENOME.COM.BR,"AVENIDA CAPITAO INDIO BANDEIRA, SALA  601",44 35232865,Associação Privada,Ativas
1359692,IGREJA BATISTA BETEL EM TOLEDO,ATUAL.ORG@HOTMAIL.COM,RUA PRIMEIRO DE MAIO,45 99480929,Organização Religiosa,Ativas
1359435,APRENDER - ASSOCIACAO DE ENSINO E APOIO EDUCACIONAL DE CAFELANDIA,APRENDERCAFELANDIA@GMAIL.COM,RUA INTES DOLAR FONTANA,45 32412600,Associação Privada,Ativas
1359735,CENTRO DE RESSIGNIFICACAO EDUCACIONAL RENASCER - CRER,ELIETE@PRAMIO.COM.BR,RODOVIA POV GUARAUNA COLONIA PAU FURADO,41 95314099,Associação Privada,Ativas
1359676,ASSOCIACAO OPERA EDUCACAO,VANESSAMASSARO10@HOTMAIL.COM,"AVENIDA JOAO GUALBERTO, SALA  301                 ANDAR 03                  COND  OPERA MATTEO ED",41 99978003,Associação Privada,Ativas
1359704,INSTITUTO UNIMED CURITIBA,REJANE@RPCONTABIL.COM.BR,AVENIDA AFFONSO PENNA,41 30219303,Associação Privada,Ativas
1359750,I. B. R. R. - INSTITUICAO BENEFICENTE REGIONAL DE RONCADOR,IBRR.RONCADOR3575@GMAIL.COM,AVENIDA DAS PALMEIRAS,44 84364859,Associação Privada,Ativas
1359807,ASSOCIACAO CHEVETTE E ANTIGOS DE PONTA GROSSA,CAPGAUTOMOVELCLUBE@GMAIL.COM,RUA HENRIQUE PORTELA DE ALMEIDA,42 98288459,Associação Privada,Ativas
1359789,IGREJA UNIVERSAL DO REINO DE DEUS,ATAS@SP.UNIVERSAL.ORG.BR,RUA TENENTE CORONEL CARLOS SOUZA,11 23926734,Organização Religiosa,Ativas
1359811,SCUDERIA FERRARI CLUB CURITIBA-BRAZIL,LORENZO@ASSESSORE.COM.BR,"AVENIDA CANDIDO DE ABREU, CONJ  903                 COND  JOSE CONRADO RIEDEL BLOCO JOSE CONRADO RIEDEL",41 32740770,Associação Privada,Ativas
1359818,ROTARY CLUB JARDIM ALEGRE,PRADOCONTABILIDADE@5GMAIL.COM,"RUA SANTO ANTONIO, SALA  TERREO",43 34751167,Associação Privada,Ativas
1359885,INSTITUTO DE REABILITACAO AUDITIVA JONATAS RODRIGUES,CONTATO@INSTITUTOJONATAS.ONG.BR,AVENIDA COMENDADOR AMORIM PEDROSA MOLEIRINHO,44 91434123,Associação Privada,Ativas
1360176,IGREJA PENTECOSTAL DOUTRINA DOS APOSTOLOS - IPDA,IPDASECRETARIA@GMAIL.COM,RUA ANTONIO PILEGI,44 98651664,Associação Privada,Ativas
1360005,INPLANTAR INSTITUTO DE PLANEJAMENTO DESENVOLVIMENTO E GESTAO TERRITORIAL DO NOROESTE DO PARANA,EVANDRO.ZANINI@HOTMAIL.COM,RUA ILMA PEREIRA MACHADO,44 91235727,Associação Privada,Suspensas
1360021,IGREJA PENTECOSTAL LIRIO DOS VALES - CAFELANDIA - PARANA,EMERSON@PIERDONA.COM.BR,RUA PADRE LUIS LUISE,45 99838221,Organização Religiosa,Ativas
1360120,ASSOCIACAO GALERIA CAFE DENOMINADA AMA,PDMAGROPECUARIA@GMAIL.COM,"RUA TOM JOBIM, CASA  204",45 32279426,Associação Privada,Ativas
1360115,ZENDO CURITIBA,ZENDOCURITIBA@GMAIL.COM,"TRAVESSA NESTOR DE CASTRO, SALA  01                  ANDAR 01                  COND  DA GLORIA ED",41 91176232,Organização Religiosa,Ativas
1360276,IGREJA EVANGELICA ORVALHO DA RESTAURACAO,FIEB.ADM2021@GMAIL.COM,RUA RUA DA PAZ,41 95201971,Organização Religiosa,Ativas
1360292,ASSOCIACAO NACIONAL DE FISIOTERAPIA INJETAVEL,ZEBERNARDINO@HOTMAIL.COM,AVENIDA MAURO MORI,44 35221892,Associação Privada,Ativas
1360272,IGREJA INTERNACIONAL PLENITUDE DE DEUS MINISTERIO CHAMA VIVA,ATENDIMENTO@ACIDEAL.COM.BR,RUA JACARANDA,46 99026868,Organização Religiosa,Ativas
1360332,INSTITUTO DE DIREITO SUSTENTABILIDADE E NEGOCIOS IDSEN,ADMINISTRACAO@NEGRISOARES.COM.BR,"AVENIDA SAO PAULO, SALA  1610",44 91564896,Associação Privada,Ativas
1360347,ASSOCIACAO DE AGRICULTORES PISCICULTORES E AGROINDUSTRIAS DO PALMITAL,CADASTRO@FONTANELLA.CNT.BR,ESTRADA PRINCIPAL DA LINHA PALMITAL - ASSENTAMENTO CELSO FURTADO,46 99082650,Associação Privada,Ativas
1360551,ADATAPAR ASSOCIACAO DE DEFESA E ASSISTENCIA AOS TAXISTAS DO PARANA,ANDRE2015AQUINO@GMAIL.COM,"RUA AYRTON GREIFFO, APT   23                  BLOCO VILA VELHA BL 10 CJ",41 84400836,Associação Privada,Inaptas
1360765,APEDEF ASSOCIACAO PONTAGROSSENSE DE EMANCIPACAO PARA DEFICIENTES,LUWAB@HOTMAIL.COM,RUA ABATIA,42 91270900,Associação Privada,Ativas
1360655,ASSOCIACAO DOS MORADORES DO CONDOMINIO RURAL DE CHACARAS MORADA DA LUA,"OCD.DOURADINA@HOTMAIL.CO,","RODOVIA ERNESTO PAIVA, TERREOZONA RURAL",44 99412321,Associação Privada,Inaptas
1361007,ASSOCIACAO BENEFICENTE AMIGOS SOLIDARIOS-ABAS,SIRLEIWEIBER@HOTMAIL.COM,AVENIDA BRASILIA,45 99821244,Associação Privada,Ativas
1360885,PROJETO SOCIAL TIBAGI,JONILSON-J.F.S@HOTMAIL.COM,RUA PROFESSOR MARTINS FRANCO,42 99953032,Associação Privada,Ativas
1361151,AUTO RESTAURAR - ASSOCIACAO PARA RESTAURACAO DE VEICULOS AUTOMOTORES,MARINA@HDOISASSESSORIA.COM.BR,"RUA JOAO BETTEGA, CONJ  218                 ANDAR 02                  BLOCO GALERIA REGIONAL DO",41 35326256,Associação Privada,Ativas
1361307,IDHEN - INSTITUTO DE DESENVOLVIMENTO HUMANO E EDUCACAO NACIONAL,CLODOALDO_FARIA@HOTMAIL.COM,"AVENIDA DAS INDUSTRIAS, SALA  1                   MZNINO.",44 30293755,Associação Privada,Ativas
1361497,CAIXA DE ASSISTENCIA DOS ADVOGADOS SECAO DO PARANA,ADMIN@CAAPR.ORG.BR,"RUA CANDIDO LOPES, COND  MARINGA ED",41 32505816,Associação Privada,Ativas
1361538,MINISTERIO IGREJA DE JESUS CRISTO,FIEB.ADM2021@GMAIL.COM,RUA PREFEITO PIO ALBERTI,41 95201971,Organização Religiosa,Ativas
1361604,"FEDERACAO DAS ASSOCIACOES EMPRESARIAIS DAS INDUSTRIAS, SERVICOS E COMERCIO DE PERMUTA DO ESTADO DO PARANA",CONTATO@NANUVEMCONTABILIDADE.COM.BR,RUA ALBINO KAMINSKI,41 98039573,Associação Privada,Inaptas
1361934,ASSOCIACAO  AMIGOS  DA  MARIA  FERNANDA,FEMOCLAM@HOTMAIL.COM,RUA SEBASTIAO RODRIGUES DOS SANTOS,41 99889333,Associação Privada,Ativas
1361635,ASSOCIACAO DE FUTSAL ATLETICO CLEVELANDENSE,BELAVISTA.CONTABILISTA@GMAIL.COM,RUA RUA BARAO DO RIO BRANCO,46 32521543,Fundação Privada,Ativas
1362153,INSTITUTO BRASIL SINAGOGA,COMERCIALCERTATV@GMAIL.COM,RUA FORTUNATO FREGONEZE,43 99485363,Associação Privada,Ativas
1361620,ASSOCIACAO DE MORADORES E PROPRIETARIOS DO JARDIM DO BOSQUE - AMPJB,AMPJB.PARANAGUA@GMAIL.COM,"RUA ESTRADA DO IPE, KM    08",41 84743085,Associação Privada,Ativas
1361937,ASSOCIACAO CICLISTICA DE TOLEDO - ACT,SAGACONTABILIDADE@HOTMAIL.COM,RUA BARAO DO RIO BRANCO,45 30552540,Associação Privada,Ativas
1362210,ASSOCIACAO DOS PRODUTORES RURAIS DE SANTA CRUZ DE MONTE CASTELO - AGROCASTELO,CONTATO.SCMONTECASTELO@GMAIL.COM,RODOVIA RODOVIA PR 218 JORGE BAGGIO KM 01 - PARQUE DE EXPOSICOES GOV,44 99133617,Associação Privada,Inaptas
1362211,ASSOCIACAO PROFESSORA AMELIA CASAGRANDE,REJANE@RPCONTABIL.COM.BR,ALAMEDA DOM PEDRO II,41 99575864,Associação Privada,Ativas
1362279,IGREJA EVANGELICA PENTECOSTAL ALMAS PARA CRISTO,MBATISTADACUNHA@GMAIL.COM,RUA ORLANDO HENNEBERG,42 99915400,Organização Religiosa,Inaptas
1362329,ASSOCIACAO CASCAVEL KAYAK CLUB,JULIANOCANOE@HOTMAIL.COM,RUA NATAL,45 99306667,Associação Privada,Ativas
1362216,IGREJA ASSEMBLEIA DE DEUS MARANATA REAL,CONTABILIDADE.DREHER@HOTMAIL.COM,AVENIDA MORENITAS,45 99150162,Organização Religiosa,Ativas
1362470,ASSOCIACAO DE ESPORTES DO NORTE PARANA - AENP,ASSOCIACAOAENP@HOTMAIL.COM,RUA IBRAHIM SOUBHIA,43 84339360,Associação Privada,Ativas
1362476,CAPITULO JERUSALEM I N 129 DE MACONS DO REAL ARCO DO BRASIL,CONTEC@CONTECPR.COM.BR,RUA LEOPOLDO MANSON VAZ,41 30760170,Associação Privada,Ativas
1362282,FRATERNIDADE FEMININA CRUZEIRO DO SUL FILHOS DO PELICANO,MBSCONTABILIDADE@HOTMAIL.COM,AVENIDA MINAS GERAIS,44 91061525,Associação Privada,Ativas
1362603,HOFTALON CENTRO DE ESTUDO E PESQUISA DA VISAO,DOCUMENTACAO@HOFTALON.COM.BR,"RUA ALZIRA TIBURSKI, SALA  2 E 3",43 33759500,Associação Privada,Ativas
1362649,COMUNIDADE EVANGELICA ALCANCE DE REBOUCAS,VALDIRMTLINE@GMAIL.COM,RUA PRUDENTE DE MORAES,42 84253010,Organização Religiosa,Ativas
1362882,IGREJA IRMAOS EM CRISTO,IGREJAIRMAOSEMCRISTOQSS@GMAIL.COM,"RUA DIRCEU MONTANARIM, ANDAR SUPERIOR",41 92024134,Organização Religiosa,Ativas
1362711,IGREJA CRISTA EVANGELICA CASA DE ORACAO EM FOZ DO IGUACU,CONTATO@SAFEOFFICES.COM.BR,RUA NOEL ROSA JARDIM NAIPI,45 99001040,Organização Religiosa,Inaptas
1362743,IGREJA UNIAO DO CORPO DE CRISTO,IGREJA.UNIAODOCORPODECRISTO@GMAIL.COM,RUA PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,41 85360159,Organização Religiosa,Ativas
1362762,ASSOCIACAO DE MORADORES ROCA GRANDE,GUTIERREZCONTABILIDADE.MARIA@GMAIL.COM,RUA VICENTE MACHIOSKI,41 36212588,Associação Privada,Ativas
1362818,ASSOCIACAO DE MORADORES E PROTETORES DA REGIAO DAS NASCENTES DO RIO CAPIVARI - AMIGOS DO CAPIVARI,AMIGOSDOCAPIVARI@DUNNA.COM.BR,ESTRADA DAS USINAS GUARICANA E CHAMINE,41 99725178,Associação Privada,Ativas
1362889,CENTRO ESPIRITA LUZ E CARIDADE,CENTROLUZECARIDADE2015@GMAIL.COM,RUA WASHINGTON LUIZ,43 84043883,Organização Religiosa,Ativas
