id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral
408823,IGREJA DO EVANGELHO QUADRANGULAR,CONTATOOFICIAL@QUADRANGULAR.COM.BR,RUA DA PICARREIRA,11 32263131,Organização Religiosa,ATIVA
666309,IGREJA EVANGELICA MANANCIAL DA VIDA,CONTABILIDADEMVA@HOTMAIL.COM,RUA DAS ROSAS,44 32321428,Associação Privada,ATIVA
672131,INSTITUTO SAO CRISTOVAO,instituto@institutosc.org.br,RUA PROFESSOR DOUTOR PEDRO RIBEIRO MACEDO DA COSTA,41 30153300,Associação Privada,ATIVA
672133,TERRA DE DIREITOS,PASIN@HOTMAIL.COM.BR,"RUA EBANO PEREIRA, CONJ  905                 ANDAR 09                  COND  ELIAS ABDO BITTAR ED",41 97960061,Associação Privada,ATIVA
562573,ASSOCIACAO NACIONAL DE POS-GRADUACAO E PESQUISA EM ADMINISTRACAO,SECRETARIA@ANPAD.ORG.BR,"AVENIDA CARNEIRO LEAO, EDIF  ATRIUM CENTRO EMPRESANDAR 14                  SALA  1402                BLOCO TORRE SUL",44 33548545,Associação Privada,ATIVA
672134,IGREJA PRESBITERIANA INDEPENDENTE DE SERTANOPOLIS,audcon@onda.com.br,RUA DOMINGOS GONCALVES DE PAULA FILHO,43 2321397,Associação Privada,ATIVA
672136,ASSOCIACAO COMERCIAL E EMPRESARIAL DE TIJUCAS DO SUL,ACETIS@UOL.COM.BR,"RUA XV DE NOVEMBRO, ANDAR 2                   SALA  05",41 36291346,Associação Privada,ATIVA
672141,"ASSOCIACAO CULTURAL, RECREATIVA E ESPORTIVA CLUBE DAS TERCAS",alccarboni@hotmail.com,"RUA FRANCISCO FOGACA DO NASCIMENTO, ESQ. LEONARDO OTREMBA",4503523338,Associação Privada,ATIVA
672147,ASSOCIACAO EDUCACIONAL SANTO ANTONIO,alccarboni@hotmail.com,AVENIDA DEPUTADO ARNALDO BUSSATO,4503268320,Associação Privada,ATIVA
672143,ASSOCIACAO GA - GRUPO ASTORGA,JCANUNCIACAO@HOTMAIL.COM,"RODOVIA ASTORGA - JAGUAPITA, KM 0",44 32347575,Associação Privada,ATIVA
672140,ARAS-ASSOCIACAO ROGATE DE ASSISTENCIA SOCIAL,aicd@netpar.com.br,ESTRADA DE SANTA CANDIDA,41 2572644,Associação Privada,ATIVA
672151,PAROQUIA SANTA TEREZINHA DO MENINO JESUS,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA PINTASSILGO, TERREO",45 32293980,Organização Religiosa,ATIVA
672150,ASSOCIACAO DOS CONDOMINOS DO CENTRO MEDICO GUADALUPE,rh@contimar.com.br,AVENIDA DR. LUIZ TEIXEIRA MENDES,44 32621018,Associação Privada,ATIVA
672138,UNIBIO - UNIVERSIDADE LIVRE DE PROTECAO A BIODIVERSIDADE,prof.rodrigoberte@gmail.com,"AVENIDA BRASIL, CONJUNTO 13",4103311568,Associação Privada,ATIVA
672189,CLUBE MORADIAS AGUA DA FONTE,contabilidade@ecpassessoria.com.br,"RODOVIA PR 423, KM 08",41 30275303,Associação Privada,ATIVA
672194,OBSERVATORIO SOCIAL DE COLORADO,jeminerva@gmail.com,AVENIDA PARANA,44 33231526,Associação Privada,ATIVA
672163,ASSOCIACAO CULTURAL FLEXA DOURADA,cebrasfederacao@hotmail.com,"ESTRADA DO GANCHINHO, CASA",41 30793036,Organização Religiosa,ATIVA
672144,ASSOCIACAO DAS EMPRESAS CEREALISTAS DO ESTADO DO PARANA,ACEPAR@ACEBRA.ORG.BR,"AVENIDA PRESIDENTE GETULIO VARGAS, CONJ: 1701; EDIF: LYSIS ISFER;",41 30780901,Associação Privada,ATIVA
672167,CONGREGACAO DE SAO JOAO BATISTA,institutopjesusdenazare@hotmail.com,RUA JOSE SCHINCARIOL,4103233349,Associação Privada,ATIVA
672158,ASSOCIACAO DOS CONDOMINOS DO MAJESTIC RESIDENCE,marcos.silva@praxisge.com.br,AVENIDA TAMANDARE,44 32621018,Associação Privada,ATIVA
672169,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO MORADA DO PARK,CARLOSNABERNABE@ONDA.COM.BR,RUA SANTOS DUMONT,44 30255554,Associação Privada,ATIVA
672191,ASSOCIACAO MAOS PARA SERVIR,ASSOCIACAOMAOSPARASERVIR@HOTMAIL.COM,AVENIDA REPUBLICA ARGENTINA,45 21052000,Associação Privada,ATIVA
672179,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL PRUDENTOPOLIS IV - PROGRAMA MORAR BEM PARANA - IMOVEL NA PLANTA DE PRUDENTOPOLIS,pontual_cont@brturbo.com.br,RUA CEL JOAO PEDRO MARTINS,42 36232682,Associação Privada,ATIVA
672174,92 UDS ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL SAO JOAO DO IVAI VI,adryelle@cohapar.pr.gov.br,RUA OSMARIO COUTINHO DE CASTRO,43 34224214,Associação Privada,ATIVA
672155,ASSOCIACAO HIPICA DE CAFELANDIA - AHICAFE,NA,"ESTRADA PARA CENTRAL SANTA CRUZ, KM 05",45 32411303,Associação Privada,INAPTA
672185,ASSOCIACAO DOS MORADORES DO RESIDENCIAL DAVID BORDIN,lexius@lexius.com.br,RUA PRINCIPAL SILVA JARDIM,45 21026122,Associação Privada,ATIVA
672159,ASSOCIACAO DOS ASSISTIDOS DA FUNDACAO ITAIPU - BR,ASSOCIACAOAAFI@GMAIL.COM,AVENIDA GARIBALDI,45 30273739,Associação Privada,ATIVA
672156,SOCIEDADE CIVIL RESIDENCIAL ESTANCIA POUSADA DO TUCUNARE,hebertsuzuki@hotmail.com,"LOTEAMENTO PORTARIA DO LOTEAMENTO ESTANCIA POUSADA DO TUCUNARE, SEDE",43 36611236,Associação Privada,ATIVA
672153,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO IMOVEL NA PLANTA - FGTS - PARCERIA MUNICIPIO DE IMBITUVA,saulo@cohapar.pr.gov.br,RUA PROFESSOR SOUZA ARAUJO,42 30280966,Associação Privada,ATIVA
672204,IGREJA PENTECOSTAL DEUS E SALVACAO,diegosantossi_37@outlook.com,RUA SARGENTO JOSE BERNARDO ROSA,45 99239466,Organização Religiosa,ATIVA
672146,ASSOCIACAO EMAUS,COM.EMAUS@HOTMAIL.COM,RUA ALCIDES GONCALVES DA ROCHA,41 32634168,Associação Privada,ATIVA
672175,FEDERACAO PARANAENSE DE CULTURISMO MUSCULACAO E FITNESS - FPCMF,profregis@hotmail.com,"RUA PERNAMBUCO, EDIF  JOSE SMARCZEWSKI",45 32233850,Associação Privada,INAPTA
672205,"ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL MANGUEIRINHA II, PROGRAMA MORAR BEM PARANA DE MANGUEIRINHA",lopes@wln.com.br,RUA GOVERNADOR GARCEZ,46 35243770,Associação Privada,ATIVA
672145,INSTITUTO TIBAGI,CONTATO@INSTITUTOTIBAGI.ORG.BR,"RUA SANTO ANTONIO, 3 PISO              SALA  116",41 30151434,Associação Privada,ATIVA
672188,ASSOCIACAO HOSPITALAR BENEFICENTE MOACIR MICHELETTO DE ASSIS CHATEAUBRIAND-PR,orgassi@brturbo.com.br,RUA CURITIBA,44 35284228,Associação Privada,ATIVA
672211,ASSOCIACAO DOS CONDOMINOS  DO EDIFICIO DOLCE VITA,dolcevita@pedrogranado.com.br,AVENIDA JOAO PAULINO VIEIRA FILHO 342,4432621018,Associação Privada,Não informado
672212,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO THOMAZ BERALDI,dpconsulte@gmail.com,"RUA BENJAMIN CONSTANT, DATA 07/08                QUADRA 60-B",44 32184841,Associação Privada,ATIVA
672213,ONG DIREITO DE VIVER COM SAUDE - REVIVA,FINANCEIROONGREVIVA@OUTLOOK.COM,AVENIDA CAPITAO THOMAZ CARVALHO DE CAMARGO,41 30209400,Associação Privada,ATIVA
672219,ASSOCIACAO PLATINENSE DOS ESTUDANTES DE MARILIA,digollino@hotmail.com,AVENIDA OLIVEIRA MOTTA,43 99774233,Associação Privada,INAPTA
672220,ASSOCIACAO DO PROGRAMA MORAR BEM PARANA DE BARRA DO JACARE,escriban@brturbo.com.br,RUA RUI BARBOSA,43 35241960,Associação Privada,ATIVA
672217,PAROQUIA SAO JOSE OPERARIO,SJOPERAR@GMAIL.COM,AVENIDA  MANAUS,45 32264660,Organização Religiosa,ATIVA
672222,CLINICA PSIQUIATRICA EMUNAH,FINANCEIRO@CLINICAEMUNAH.COM.BR,RUA CARLOS BELAO,41 35900518,Associação Privada,ATIVA
672224,PAROQUIA SANTO ANTONIO,P.SANTO.ANTONIO@HOTMAIL.COM,"RUA LINO BENO LENZ, ANDAR TERREO",45 32381293,Organização Religiosa,ATIVA
672223,PAROQUIA NOSSA SENHORA APARECIDA,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"AVENIDA BRASIL, ANDAR TERREO",45 32351216,Organização Religiosa,ATIVA
672225,PAROQUIA SAO SEBASTIAO,PAROQUIASEBASTIAO@GMAIL.COM,"RUA PARANA, ANDAR TERREO",45 32341234,Organização Religiosa,ATIVA
672226,PAROQUIA SAO ROQUE,PAROQUIA-SAOROQUE@HOTMAIL.COM,"AVENIDA ROSARIO, ANDAR TERREO",45 32293980,Organização Religiosa,ATIVA
672229,PAROQUIA NOSSA SENHORA DA PENHA,PAROQUIA@AC-NSDAPENHA.ORG.BR,"RUA AVELINO JUSCELINO, ANDAR TERREO",45 32471141,Organização Religiosa,ATIVA
672231,PAROQUIA NOSSA SENHORA DA SALETTE,PNSSALETTE@GMAIL.COM,"RUA TIGRE, ANDAR TERREO",45 32451144,Organização Religiosa,ATIVA
672236,ASSOCIACAO IGREJA NO CINEMA - INC,EXECUTIVO.INC@GMAIL.COM,RUA AMAZONAS,41 91690818,Organização Religiosa,ATIVA
672230,PAROQUIA SAO JUDAS TADEU,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA ROSA, ANDAR TERREO",45 32421346,Organização Religiosa,ATIVA
672235,ASSOCIACAO DOS PARTICIPANTES DO PROGRAMA MORAR BEM PARANA DO RESIDENCIAL BANDEIRANTES II,escriban@brturbo.com.br,RUA FREI RAFAEL PRONER,43 35241960,Associação Privada,ATIVA
672227,PAROQUIA NOSSA SENHORA CONSOLATA,PRCONSOLATA@GMAIL.COM,RUA PADRE LUIS LUISE,45 32411248,Organização Religiosa,ATIVA
672239,ASSOCIACAO DOS MORADORES DO RESIDENCIAL AGUAS DE VENEZA,t.mada@hotmail.com,"ESTRADA LINHA VENEZA, LOTE N. 21, GLEBA 08 - IMOVEL ANDRARA",45 99639363,Associação Privada,ATIVA
672241,PAROQUIA SAO SEBASTIAO EM CAMPO BONITO-PR,PAROQUIA.CB@HOTMAIL.COM,"RUA SAO FRANCISCO DE ASSIS, TERREO",45 32331052,Organização Religiosa,ATIVA
672249,OBSERVATORIO SOCIAL DO BRASIL - IRATI/PR,IRATI@OSBRASIL.ORG.BR,TRAVESSA FREI JAIME,42 98048447,Associação Privada,ATIVA
672250,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL BOA VENTURA DE SAO ROQUE I - PROGRAMA MORAR BEM PARANA - IMOVEL DA PLANTA,pontual_cont@brturbo.com.br,"AVENIDA DALZOTTO, FUNDOS",42 36232682,Associação Privada,ATIVA
672232,PAROQUIA SAGRADO CORACAO DE JESUS,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA PIO XII, ANDAR TERREO",45 32481139,Organização Religiosa,ATIVA
672247,ASSOCIACAO DE TENIS DE MESA DO LITORAL - ATML,trabalhista@breginski.com.br,"AVENIDA ARTHUR DE ABREU, SALA  A",41 34247418,Associação Privada,INAPTA
672240,PAROQUIA NOSSA SENHORA APARECIDA EM DIAMANTE DO SUL-PR,APARECIDA_PAROQUIA@HOTMAIL.COM,"AVENIDA IVAN FERREIRA DO AMARAL, TERREO",45 32301143,Organização Religiosa,ATIVA
672243,CONVENCAO REGIONAL SUL DAS IGREJAS ADVENTISTA DA PROMESSA,ESCRITORIO.IAPSUL@GMAIL.COM,RUA BOM JESUS DE IGUAPE,41 32223956,Organização Religiosa,ATIVA
672242,MISSAO CONFINS DA TERRA,megaacontabil@hotmail.com,RUA DARIO BORDIN,42 99994892,Organização Religiosa,ATIVA
672246,PAROQUIA NOSSA SENHORA DA SALETTE EM CAPITAO LEONIDAS MARQUES-PR,PAROQUIA.CAPITAO@HOTMAIL.COM,"RUA DEMETRIO PAULO PAINI, TERREO",45 32861336,Organização Religiosa,ATIVA
672254,ASSOCIACAO REDE MAXPREMIUM DE LOJAS DE MATERIAIS DE CONSTRUCAO,REDEMAXPREMIUM@GMAIL.COM,"AVENIDA APARICIO BITTENCOURT, SALA  A",42 36431343,Associação Privada,ATIVA
672256,INSTITUTO SUPERIOR DE EDUCACAO DO CARMO,PAROQUIAL@COLEGIOPAROQUIAL.COM.BR,RUA ANTONIO FELIPE,44 34231198,Associação Privada,ATIVA
672253,ASSOCIACAO DOS AMIGOS UNIDOS DO PARANA,sergiololi@hotmail.com,"RUA RUI BARBOSA, SALA  01",45 3523400,Associação Privada,ATIVA
672252,ONGDIP - ORGANIZACAO NACIONAL DE GARANTIA AO DIREITO DE PROPRIEDADE,lex@f1net.com.br,AVENIDA FRANCISCO MURTINHO 866,4436424343,Associação Privada,Não informado
672257,"ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO CONJUNTO HABITACIONAL RENASCENCA II, PROGRAMA MORAR BEM PARANA DE RENASCENCA",lopes@wln.com.br,RUA GETULIO VARGAS,46 35243770,Associação Privada,ATIVA
672255,IGREJA VIDEIRA EM CASCAVEL,videira@videiracascavel.com.br,RUA MANAUS,45 30355084,Organização Religiosa,ATIVA
672259,IGREJA PRESBITERIANA DO BOSQUE,fercontabil@fercontabil.com,RUA LUIZ TEODORO,43 35671478,Organização Religiosa,ATIVA
672260,PAROQUIA NOSSA SENHORA APARECIDA EM BOA VISTA DA APARECIDA,PAROQUIABVA@HOTMAIL.COM,"AVENIDA TUPI, TERREO",45 98415506,Organização Religiosa,ATIVA
672264,INSTITUTO DE APOIO AOS PORTADORES DE NECESSIDADES ESPECIAIS E DE CANCER DO BRASIL - INPONEC DO BRASIL,alianca@escritorioalianca.com.br,RUA GUILERMINA LAHMANN,43 32544444,Associação Privada,INAPTA
672263,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO VERMONT,cleber@minelicontabilidade.com.br,RUA SAULO PORTO VIRMOND 1025,4432243670,Associação Privada,Não informado
672262,CVI-PR AVALIACOES,DIRETORIA@CVIPR.COM.BR,"AVENIDA PRESIDENTE GETULIO VARGAS, COND  NAO INFORMADO",41 30781212,Associação Privada,ATIVA
672266,ATMOP - ASSOCIACAO DOS TRANSPORTADORES DO MEDIO OESTE DO PARANA,pessoal1@escritoriocontasul.com.br,"RODOVIA PR 239, KM 541,5, TERREO",45 32431596,Associação Privada,ATIVA
672272,MISSAO EVANGELICA BETANIA,edlupe@hotmail.com,"RODOVIA ALTONIA, KM 5",4403659122,Organização Religiosa,ATIVA
672267,ASSOCIACAO TECNICO CIENTIFICA DO OESTE DO PARANA,EXECUTIVO@IGUASSUIT.COM.BR,AVENIDA RIO GRANDE DO SUL,45 32845700,Associação Privada,ATIVA
672265,ASSOCIACAO DE TRANSPORTES DE CARGAS DE CORNELIO PROCOPIO E REGIAO - GRUPO TRB,toninhomfcontab@onda.com.br,"AVENIDA NOSSA SENHORA DE FATIMA, SALA  03",43 35242131,Associação Privada,INAPTA
672273,MISSAO EVANGELICA BETANIA,rogelidi@yahoo.com.br,AVENIDA IGUACU,4103023619,Organização Religiosa,ATIVA
672274,ASSOCIACAO BRASILEIRA DE PEQUENAS CENTRAIS HIDRELETRICAS E CENTRAIS GERADORAS HIDRELETRICAS,FINANCEIRO@ABRAPCH.ORG.BR,"SETOR SRTVN QUADRA 701 CONJUNTO C ALA A, SALA  219",61 30454359,Associação Privada,ATIVA
672277,ASSOCIACAO RANCHO SERTANOPOLIS,contabilidademoreira2@hotmail.com,"ACESSO BEIRA DO RIO TIBAGI, LOTE  09 E 10",43 32583326,Associação Privada,INAPTA
672245,INSTITUTO DEFESA DA CLASSE TRABALHADORA,zrh@zrh.com.br,RUA COMENDADOR ARAUJO,41 32337455,Associação Privada,ATIVA
672278,ASSOCIACAO DOS ADVOGADOS DE MARINGA,dp@escritorioamerica.com.br,AVENIDA JUSCELINO K. DE OLIVEIRA,4403031615,Associação Privada,INAPTA
672279,ASSOCIACAO DE COMUNICACAO COMUNITARIA DE DESENVOLVIMENTO CULTURAL E ARTISTICO DO JARDIM ALVORADA-ASCODECAL,siscon@siscon.cnt.br,PRACA VICENTE SIMINO,044 2281313,Associação Privada,ATIVA
672282,APABAM ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS DO BAMERINDUS,www.apabam@apabam.com.br,"RUA VOLUNTARIO DA PATRIA, 22 ANDAR SALA 2211",41 32324821,Associação Privada,ATIVA
672293,ASSOCIACAO DE MORADORES MARIA LUIZA,acine_cont@hotmail.com,RUA GASPAR DUTRA,45 2228604,Associação Privada,ATIVA
672285,"O ASILO SAO VICENTE DE PAULO, OBRA UNIDA A SOCIEDADE DE SAO VICENTE DE PAULO",alcides_s@hotmail.com,"RUA LOINS CLUB, TERREO",42 30255781,Associação Privada,ATIVA
672280,CARITAS ARQUIDIOCESANA DE LONDRINA,contato@contabilstoantonio.com.br,"RUA DOM BOSCO, SALA 104",43 33473141,Associação Privada,ATIVA
672289,ASSOCIACAO BRASILEIRA DE APOSENTADOS E PENSIONISTAS DO INSS - REGIONAL SUL/SUDESTE - AAPI,aapi@brturbo.com.br,"AVENIDA DO BATEL, 1 ANDAR CONJ.06 E 07",41 32246237,Associação Privada,INAPTA
672286,ASSOCIACAO DE RADIODIFUSAO CORONEL,betopalmas2@hotmail.com,AVENIDA ARAUCARIA,46 2622330,Associação Privada,ATIVA
672292,ASSOC TECNICA DAS INDUSTRIAS DE MANDIOCA DO PARANA - ATIMOP,CONTABILIDADE@ESCRITORIOCONTABILRONDON.COM.BR,"ACESSO LINHA APEPU, ZONA RURAL",45 84059678,Associação Privada,ATIVA
672290,ORGANIZACAO REVIVER,almir@comunidade.org.br,RUA PIONEIRA GERTRUDE HECK FRITZEN 5979,4430263444,Associação Privada,Não informado
672291,VIDA PROMOCAO SOCIAL (VPS),projetovida@onda.com.br,RUA PROFESSOR ALGACYR MUNHOZ MADER,41 32487676,Associação Privada,ATIVA
672281,ASSOC DE PAIS E AMIGOS DOS EXCEP DE BOA VENTURA DE S RO,serginhohey@hotmail.com,RUA MACIEL,4203643117,Associação Privada,ATIVA
672294,ASSESA UNIAO DAS ASSOCIACOES DE EMPREGADOS DA SANEPAR,ASSESA@ASSESA.COM.BR,RUA ENGENHEIROS REBOUCAS 1376,41 33303390,Associação Privada,ATIVA
672287,ASSOCIACAO DE AMPARO AS FAMILIAS CARENTES COM TUBERCULOSE,marcosaact@hotmail.com,RUA BARAO DE TEFFE,42 99550508,Associação Privada,ATIVA
672284,NUCLEO DE TECNOLOGIA DA INFORMACAO DO SUDOESTE DO PARANA,EXECUTIVO@NTIPR.ORG.BR,"RUA LIDIO OLTRAMARI, SALA  03",46 32259333,Associação Privada,ATIVA
672139,ASSOCIACAO BENEFICENTE SAO FRANCISCO DE ASSIS,eleuza_borba@hotmail.com,AVENIDA ANGELO MOREIRA DA FONSECA,4403621920,Associação Privada,ATIVA
672296,CRECHE SAGRADA FAMILIA,escfranzo.deppessoal@hotmail.com,RUA OURO BRANCO,44 36397993,Associação Privada,INAPTA
672283,PIA UNIAO DAS IRMAS DA COPIOSA REDENCAO,COPIOSA@ACCESSGLOBAL.COM.BR,RUA DORALICIO CORREIA,42 32261144,Organização Religiosa,ATIVA
672297,CONSELHO COMUNITARIO DE SEGURANCA CRUZEIRO DO IGUACU,precisao@yahoo.com.br,"AVENIDA TREZE DE MAIO, SALA",046 5721181,Associação Privada,INAPTA
672295,ASSOCIACAO DE DEFESA DO MEIO AMBIENTE E DO DESENVOLVIMENTODE ANTONINA,reinaldocordeiro23@brturbo.com.br,PRACA CORONEL MACEDO,041 4321305,Associação Privada,ATIVA
672298,ASSOCIACAO DOS FUNCIONARIOS DA POLICIA RODOVIARIA FEDERAL DE FOZ DO IGUACU,rh@arguscontabilidadefoz.com.br,RUA DA REPUBLICA,045 5221328,Associação Privada,ATIVA
672300,ARETIL - ASSOCIACAO RECREATIVA DA TIL,tilpessoal@gmail.com,RUA ANTONIO MANO,4303375850,Associação Privada,INAPTA
672301,PROVOPAR - ACAO SOCIAL DE ENTRE RIOS DO OESTE,zimmermannctb@hotmail.com,RUA PAIM,045 2571268,Associação Privada,ATIVA
672302,ASSOCIACAO DOS PROPRIETARIOS DE IMOVEIS DO BALNEARIO GUARAPARI,lazarocontador@hotmail.com,"RUA SAO SALVADOR, ESQ ESPIRITO SANTO",041 4582234,Associação Privada,ATIVA
672304,ASSOCIACAO GERAL DOS PRODUTORES AGROPECUARIOS,KS.CONTABILIDADE@YAHOO.COM,"RUA LEOPOLDO JOSE BARBOSA, SALA  03",43 35651221,Associação Privada,ATIVA
672305,SOCIEDADE RURAL GUARAPUAVA,esfilial1@hotmail.com,"RUA BERLIM, PARQUE DE EXPOSICOES",42 36233896,Associação Privada,ATIVA
672303,PROVOPAR - PROGRAMA DO VOLUNTARIADO PARANAENSE DE UMUARAMA,vera_borges@yahoo.com.br,AVENIDA PRESIDENTE CASTELO BRANCO,36 241730,Associação Privada,ATIVA
672306,INSTITUTO BRASILEIRO DE THERAPIAS E ENSINO,ibrate@ibrate.com.br,"RUA VOLUNTARIOS DA PATRIA, 2 ANDAR",4103013193,Associação Privada,ATIVA
672307,INSTITUTO BRASILEIRO DE THERAPIAS E ENSINO,ibrate@ibrate.com.br,"RUA PROFESSOR JOAO CANDIDO, SALA  204",41 33231625,Associação Privada,ATIVA
672310,CLUBE RECREATIVO RANCHOALEGRENSE,escobandeirantes@hotmail.com,AVENIDA BRASIL,4303540136,Associação Privada,INAPTA
672312,RECRIAR - FAMILIA E ADOCAO,marcia@sprada.com.br,"RUA CARNEIRO LOBO, FUNDOS",41 30256160,Associação Privada,ATIVA
672311,IGREJA COMUNIDADE EVANGELICA DE LIBERTACAO,rd.contabil@hotmail.com,RUA GOIAS,043 3249440,Organização Religiosa,ATIVA
672314,FUNSEPI FUNDACAO NOSSA SENHORA DA PIEDADE,ONDALIVRE983@GMAIL.COM,RUA DOMINGOS CORDEIRO,41 32928051,Fundação Privada,ATIVA
