id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral,edmu_cd_municipio,edmu_nm_municipio
618470,ASSOCIACAO BRASILEIRA DE AROMATERAPIA E AROMATOLOGIA - ABRAROMA,ABRAROMA@AROMATERAPIA.ORG.BR,"RUA XV DE NOVEMBRO, CONJ  1406                COND  LUSTOZA ED",4188656681.0,Associação Privada,ATIVA,4106902,Curitiba
651693,FUNDACAO EVANGELIZAR E PRECISO,SISTEMACONTABI@UOL.COM.BR,RUA SETE DE SETEMBRO 42,4132216002.0,Fundação Privada,Não informado,4113205,Lapa
661008,IGREJA APOSTOLICA,CONSELHODELIBERATIVO@IGREJAAPOSTOLICA.ORG,RUA CRISTOVAO COLOMBO,1129417066.0,Organização Religiosa,ATIVA,4110607,Iporã
585415,ASSOCIACAO BRASILEIRA DAS OPERADORAS DE TRENS TURISTICOS E CULTURAIS,ADM2@CONTECPR.COM.BR,RUA OMILIO MONTEIRO SOARES,4130760170.0,Associação Privada,ATIVA,4106902,Curitiba
585342,ALIANCA MISSIONARIA DE DISCIPULOS - AMD,FRANCOAMD7@GMAIL.COM,"AVENIDA PRESIDENTE WENCESLAU BRAZ, APT   13                  ANDAR 01                  COND  FIT PALLADIUM CD    BLOCO TORRE 1",2199837023.0,Associação Privada,ATIVA,4106902,Curitiba
653766,ECKANKAR BRASIL,AJCONTAB@GLOBO.COM,"ALAMEDA CABRAL, APT: 121;",4130277855.0,Organização Religiosa,ATIVA,4106902,Curitiba
645989,IG1.28 INSTITUTO GENESIS 1.28,JBSOUSA@UOL.COM.BR,"AVENIDA JAIME REIS, CONJ  12                  COND  GARIBALDI ED CMRL",4130812565.0,Associação Privada,ATIVA,4106902,Curitiba
672132,AFUL ASSOCIACAO DAS FAMILIAS UNIDAS DE LOANDA,biraescritorio@hotmail.com,"AVENIDA DES MUNHOS DE MELLO, TERREO",4403425312.0,Associação Privada,ATIVA,4113502,Loanda
667119,ASSOCIACAO NACIONAL DE FILOSOFOS CLINICOS,ANFIC@ANFIC.COM.BR,ALAMEDA CABRAL,4130920198.0,Associação Privada,ATIVA,4106902,Curitiba
408823,IGREJA DO EVANGELHO QUADRANGULAR,CONTATOOFICIAL@QUADRANGULAR.COM.BR,RUA DA PICARREIRA,1132263131.0,Organização Religiosa,ATIVA,4114302,Mandirituba
666309,IGREJA EVANGELICA MANANCIAL DA VIDA,CONTABILIDADEMVA@HOTMAIL.COM,RUA DAS ROSAS,4432321428.0,Associação Privada,ATIVA,4114807,Marialva
672131,INSTITUTO SAO CRISTOVAO,instituto@institutosc.org.br,RUA PROFESSOR DOUTOR PEDRO RIBEIRO MACEDO DA COSTA,4130153300.0,Associação Privada,ATIVA,4106902,Curitiba
672133,TERRA DE DIREITOS,PASIN@HOTMAIL.COM.BR,"RUA EBANO PEREIRA, CONJ  905                 ANDAR 09                  COND  ELIAS ABDO BITTAR ED",4197960061.0,Associação Privada,ATIVA,4106902,Curitiba
562573,ASSOCIACAO NACIONAL DE POS-GRADUACAO E PESQUISA EM ADMINISTRACAO,SECRETARIA@ANPAD.ORG.BR,"AVENIDA CARNEIRO LEAO, EDIF  ATRIUM CENTRO EMPRESANDAR 14                  SALA  1402                BLOCO TORRE SUL",4433548545.0,Associação Privada,ATIVA,4115200,Maringá
672134,IGREJA PRESBITERIANA INDEPENDENTE DE SERTANOPOLIS,audcon@onda.com.br,RUA DOMINGOS GONCALVES DE PAULA FILHO,432321397.0,Associação Privada,ATIVA,4126504,Sertanópolis
672136,ASSOCIACAO COMERCIAL E EMPRESARIAL DE TIJUCAS DO SUL,ACETIS@UOL.COM.BR,"RUA XV DE NOVEMBRO, ANDAR 2                   SALA  05",4136291346.0,Associação Privada,ATIVA,4127601,Tijucas do Sul
672141,"ASSOCIACAO CULTURAL, RECREATIVA E ESPORTIVA CLUBE DAS TERCAS",alccarboni@hotmail.com,"RUA FRANCISCO FOGACA DO NASCIMENTO, ESQ. LEONARDO OTREMBA",4503523338.0,Associação Privada,ATIVA,4108304,Foz do Iguaçu
672147,ASSOCIACAO EDUCACIONAL SANTO ANTONIO,alccarboni@hotmail.com,AVENIDA DEPUTADO ARNALDO BUSSATO,4503268320.0,Associação Privada,ATIVA,4123501,Santa Helena
672143,ASSOCIACAO GA - GRUPO ASTORGA,JCANUNCIACAO@HOTMAIL.COM,"RODOVIA ASTORGA - JAGUAPITA, KM 0",4432347575.0,Associação Privada,ATIVA,4102109,Astorga
672140,ARAS-ASSOCIACAO ROGATE DE ASSISTENCIA SOCIAL,aicd@netpar.com.br,ESTRADA DE SANTA CANDIDA,412572644.0,Associação Privada,ATIVA,4106902,Curitiba
672151,PAROQUIA SANTA TEREZINHA DO MENINO JESUS,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA PINTASSILGO, TERREO",4532293980.0,Organização Religiosa,ATIVA,4104808,Cascavel
672150,ASSOCIACAO DOS CONDOMINOS DO CENTRO MEDICO GUADALUPE,rh@contimar.com.br,AVENIDA DR. LUIZ TEIXEIRA MENDES,4432621018.0,Associação Privada,ATIVA,4115200,Maringá
672138,UNIBIO - UNIVERSIDADE LIVRE DE PROTECAO A BIODIVERSIDADE,prof.rodrigoberte@gmail.com,"AVENIDA BRASIL, CONJUNTO 13",4103311568.0,Associação Privada,ATIVA,4107652,Fazenda Rio Grande
672189,CLUBE MORADIAS AGUA DA FONTE,contabilidade@ecpassessoria.com.br,"RODOVIA PR 423, KM 08",4130275303.0,Associação Privada,ATIVA,4101804,Araucária
672194,OBSERVATORIO SOCIAL DE COLORADO,jeminerva@gmail.com,AVENIDA PARANA,4433231526.0,Associação Privada,ATIVA,4105904,Colorado
672163,ASSOCIACAO CULTURAL FLEXA DOURADA,cebrasfederacao@hotmail.com,"ESTRADA DO GANCHINHO, CASA",4130793036.0,Organização Religiosa,ATIVA,4114302,Mandirituba
672144,ASSOCIACAO DAS EMPRESAS CEREALISTAS DO ESTADO DO PARANA,ACEPAR@ACEBRA.ORG.BR,"AVENIDA PRESIDENTE GETULIO VARGAS, CONJ: 1701; EDIF: LYSIS ISFER;",4130780901.0,Associação Privada,ATIVA,4106902,Curitiba
672167,CONGREGACAO DE SAO JOAO BATISTA,institutopjesusdenazare@hotmail.com,RUA JOSE SCHINCARIOL,4103233349.0,Associação Privada,ATIVA,4114203,Mandaguari
672158,ASSOCIACAO DOS CONDOMINOS DO MAJESTIC RESIDENCE,marcos.silva@praxisge.com.br,AVENIDA TAMANDARE,4432621018.0,Associação Privada,ATIVA,4115200,Maringá
672169,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO MORADA DO PARK,CARLOSNABERNABE@ONDA.COM.BR,RUA SANTOS DUMONT,4430255554.0,Associação Privada,ATIVA,4115200,Maringá
672191,ASSOCIACAO MAOS PARA SERVIR,ASSOCIACAOMAOSPARASERVIR@HOTMAIL.COM,AVENIDA REPUBLICA ARGENTINA,4521052000.0,Associação Privada,ATIVA,4108304,Foz do Iguaçu
672179,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL PRUDENTOPOLIS IV - PROGRAMA MORAR BEM PARANA - IMOVEL NA PLANTA DE PRUDENTOPOLIS,pontual_cont@brturbo.com.br,RUA CEL JOAO PEDRO MARTINS,4236232682.0,Associação Privada,ATIVA,4120606,Prudentópolis
672174,92 UDS ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL SAO JOAO DO IVAI VI,adryelle@cohapar.pr.gov.br,RUA OSMARIO COUTINHO DE CASTRO,4334224214.0,Associação Privada,ATIVA,4125001,São João do Ivaí
672155,ASSOCIACAO HIPICA DE CAFELANDIA - AHICAFE,,"ESTRADA PARA CENTRAL SANTA CRUZ, KM 05",4532411303.0,Associação Privada,INAPTA,4103453,Cafelândia
672185,ASSOCIACAO DOS MORADORES DO RESIDENCIAL DAVID BORDIN,lexius@lexius.com.br,RUA PRINCIPAL SILVA JARDIM,4521026122.0,Associação Privada,ATIVA,4108304,Foz do Iguaçu
672159,ASSOCIACAO DOS ASSISTIDOS DA FUNDACAO ITAIPU - BR,ASSOCIACAOAAFI@GMAIL.COM,AVENIDA GARIBALDI,4530273739.0,Associação Privada,ATIVA,4108304,Foz do Iguaçu
672156,SOCIEDADE CIVIL RESIDENCIAL ESTANCIA POUSADA DO TUCUNARE,hebertsuzuki@hotmail.com,"LOTEAMENTO PORTARIA DO LOTEAMENTO ESTANCIA POUSADA DO TUCUNARE, SEDE",4336611236.0,Associação Privada,ATIVA,4100806,Alvorada do Sul
672153,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO IMOVEL NA PLANTA - FGTS - PARCERIA MUNICIPIO DE IMBITUVA,saulo@cohapar.pr.gov.br,RUA PROFESSOR SOUZA ARAUJO,4230280966.0,Associação Privada,ATIVA,4110102,Imbituva
672204,IGREJA PENTECOSTAL DEUS E SALVACAO,diegosantossi_37@outlook.com,RUA SARGENTO JOSE BERNARDO ROSA,4599239466.0,Organização Religiosa,ATIVA,4104808,Cascavel
672146,ASSOCIACAO EMAUS,COM.EMAUS@HOTMAIL.COM,RUA ALCIDES GONCALVES DA ROCHA,4132634168.0,Associação Privada,ATIVA,4106902,Curitiba
672175,FEDERACAO PARANAENSE DE CULTURISMO MUSCULACAO E FITNESS - FPCMF,profregis@hotmail.com,"RUA PERNAMBUCO, EDIF  JOSE SMARCZEWSKI",4532233850.0,Associação Privada,INAPTA,4104808,Cascavel
672205,"ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL MANGUEIRINHA II, PROGRAMA MORAR BEM PARANA DE MANGUEIRINHA",lopes@wln.com.br,RUA GOVERNADOR GARCEZ,4635243770.0,Associação Privada,ATIVA,4114401,Mangueirinha
672145,INSTITUTO TIBAGI,CONTATO@INSTITUTOTIBAGI.ORG.BR,"RUA SANTO ANTONIO, 3 PISO              SALA  116",4130151434.0,Associação Privada,ATIVA,4106902,Curitiba
672188,ASSOCIACAO HOSPITALAR BENEFICENTE MOACIR MICHELETTO DE ASSIS CHATEAUBRIAND-PR,orgassi@brturbo.com.br,RUA CURITIBA,4435284228.0,Associação Privada,ATIVA,4102000,Assis Chateaubriand
672211,ASSOCIACAO DOS CONDOMINOS  DO EDIFICIO DOLCE VITA,dolcevita@pedrogranado.com.br,AVENIDA JOAO PAULINO VIEIRA FILHO 342,4432621018.0,Associação Privada,Não informado,4115200,Maringá
672212,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO THOMAZ BERALDI,dpconsulte@gmail.com,"RUA BENJAMIN CONSTANT, DATA 07/08                QUADRA 60-B",4432184841.0,Associação Privada,ATIVA,4115200,Maringá
672213,ONG DIREITO DE VIVER COM SAUDE - REVIVA,FINANCEIROONGREVIVA@OUTLOOK.COM,AVENIDA CAPITAO THOMAZ CARVALHO DE CAMARGO,4130209400.0,Associação Privada,ATIVA,4125506,São José dos Pinhais
672219,ASSOCIACAO PLATINENSE DOS ESTUDANTES DE MARILIA,digollino@hotmail.com,AVENIDA OLIVEIRA MOTTA,4399774233.0,Associação Privada,INAPTA,4124103,Santo Antônio da Platina
672220,ASSOCIACAO DO PROGRAMA MORAR BEM PARANA DE BARRA DO JACARE,escriban@brturbo.com.br,RUA RUI BARBOSA,4335241960.0,Associação Privada,ATIVA,4102703,Barra do Jacaré
672217,PAROQUIA SAO JOSE OPERARIO,SJOPERAR@GMAIL.COM,AVENIDA  MANAUS,4532264660.0,Organização Religiosa,ATIVA,4104808,Cascavel
672222,CLINICA PSIQUIATRICA EMUNAH,FINANCEIRO@CLINICAEMUNAH.COM.BR,RUA CARLOS BELAO,4135900518.0,Associação Privada,ATIVA,4119509,Piraquara
672224,PAROQUIA SANTO ANTONIO,P.SANTO.ANTONIO@HOTMAIL.COM,"RUA LINO BENO LENZ, ANDAR TERREO",4532381293.0,Organização Religiosa,ATIVA,4109757,Ibema
672223,PAROQUIA NOSSA SENHORA APARECIDA,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"AVENIDA BRASIL, ANDAR TERREO",4532351216.0,Organização Religiosa,ATIVA,4127858,Três Barras do Paraná
672225,PAROQUIA SAO SEBASTIAO,PAROQUIASEBASTIAO@GMAIL.COM,"RUA PARANA, ANDAR TERREO",4532341234.0,Organização Religiosa,ATIVA,4105003,Catanduvas
672226,PAROQUIA SAO ROQUE,PAROQUIA-SAOROQUE@HOTMAIL.COM,"AVENIDA ROSARIO, ANDAR TERREO",4532293980.0,Organização Religiosa,ATIVA,4123824,Santa Lúcia
672229,PAROQUIA NOSSA SENHORA DA PENHA,PAROQUIA@AC-NSDAPENHA.ORG.BR,"RUA AVELINO JUSCELINO, ANDAR TERREO",4532471141.0,Organização Religiosa,ATIVA,4106308,Corbélia
672231,PAROQUIA NOSSA SENHORA DA SALETTE,PNSSALETTE@GMAIL.COM,"RUA TIGRE, ANDAR TERREO",4532451144.0,Organização Religiosa,ATIVA,4103354,Braganey
672236,ASSOCIACAO IGREJA NO CINEMA - INC,EXECUTIVO.INC@GMAIL.COM,RUA AMAZONAS,4191690818.0,Organização Religiosa,ATIVA,4106902,Curitiba
672230,PAROQUIA SAO JUDAS TADEU,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA ROSA, ANDAR TERREO",4532421346.0,Organização Religiosa,ATIVA,4106308,Corbélia
672235,ASSOCIACAO DOS PARTICIPANTES DO PROGRAMA MORAR BEM PARANA DO RESIDENCIAL BANDEIRANTES II,escriban@brturbo.com.br,RUA FREI RAFAEL PRONER,4335241960.0,Associação Privada,ATIVA,4102406,Bandeirantes
672227,PAROQUIA NOSSA SENHORA CONSOLATA,PRCONSOLATA@GMAIL.COM,RUA PADRE LUIS LUISE,4532411248.0,Organização Religiosa,ATIVA,4103453,Cafelândia
672239,ASSOCIACAO DOS MORADORES DO RESIDENCIAL AGUAS DE VENEZA,t.mada@hotmail.com,"ESTRADA LINHA VENEZA, LOTE N. 21, GLEBA 08 - IMOVEL ANDRARA",4599639363.0,Associação Privada,ATIVA,4103057,Boa Vista da Aparecida
672241,PAROQUIA SAO SEBASTIAO EM CAMPO BONITO-PR,PAROQUIA.CB@HOTMAIL.COM,"RUA SAO FRANCISCO DE ASSIS, TERREO",4532331052.0,Organização Religiosa,ATIVA,4104055,Campo Bonito
672249,OBSERVATORIO SOCIAL DO BRASIL - IRATI/PR,IRATI@OSBRASIL.ORG.BR,TRAVESSA FREI JAIME,4298048447.0,Associação Privada,ATIVA,4110706,Irati
672250,ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO RESIDENCIAL BOA VENTURA DE SAO ROQUE I - PROGRAMA MORAR BEM PARANA - IMOVEL DA PLANTA,pontual_cont@brturbo.com.br,"AVENIDA DALZOTTO, FUNDOS",4236232682.0,Associação Privada,ATIVA,4103040,Boa Ventura de São Roque
672232,PAROQUIA SAGRADO CORACAO DE JESUS,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA PIO XII, ANDAR TERREO",4532481139.0,Organização Religiosa,ATIVA,4110052,Iguatu
672247,ASSOCIACAO DE TENIS DE MESA DO LITORAL - ATML,trabalhista@breginski.com.br,"AVENIDA ARTHUR DE ABREU, SALA  A",4134247418.0,Associação Privada,INAPTA,4118204,Paranaguá
672240,PAROQUIA NOSSA SENHORA APARECIDA EM DIAMANTE DO SUL-PR,APARECIDA_PAROQUIA@HOTMAIL.COM,"AVENIDA IVAN FERREIRA DO AMARAL, TERREO",4532301143.0,Organização Religiosa,ATIVA,4107124,Diamante do Sul
672243,CONVENCAO REGIONAL SUL DAS IGREJAS ADVENTISTA DA PROMESSA,ESCRITORIO.IAPSUL@GMAIL.COM,RUA BOM JESUS DE IGUAPE,4132223956.0,Organização Religiosa,ATIVA,4106902,Curitiba
672242,MISSAO CONFINS DA TERRA,megaacontabil@hotmail.com,RUA DARIO BORDIN,4299994892.0,Organização Religiosa,ATIVA,4128203,União da Vitória
672246,PAROQUIA NOSSA SENHORA DA SALETTE EM CAPITAO LEONIDAS MARQUES-PR,PAROQUIA.CAPITAO@HOTMAIL.COM,"RUA DEMETRIO PAULO PAINI, TERREO",4532861336.0,Organização Religiosa,ATIVA,4104600,Capitão Leônidas Marques
672254,ASSOCIACAO REDE MAXPREMIUM DE LOJAS DE MATERIAIS DE CONSTRUCAO,REDEMAXPREMIUM@GMAIL.COM,"AVENIDA APARICIO BITTENCOURT, SALA  A",4236431343.0,Associação Privada,ATIVA,4111506,Ivaiporã
672256,INSTITUTO SUPERIOR DE EDUCACAO DO CARMO,PAROQUIAL@COLEGIOPAROQUIAL.COM.BR,RUA ANTONIO FELIPE,4434231198.0,Associação Privada,ATIVA,4118402,Paranavaí
672253,ASSOCIACAO DOS AMIGOS UNIDOS DO PARANA,sergiololi@hotmail.com,"RUA RUI BARBOSA, SALA  01",453523400.0,Associação Privada,ATIVA,4108304,Foz do Iguaçu
672252,ONGDIP - ORGANIZACAO NACIONAL DE GARANTIA AO DIREITO DE PROPRIEDADE,lex@f1net.com.br,AVENIDA FRANCISCO MURTINHO 866,4436424343.0,Associação Privada,Não informado,4108809,Guaíra
672257,"ASSOCIACAO DOS PARTICIPANTES DO EMPREENDIMENTO CONJUNTO HABITACIONAL RENASCENCA II, PROGRAMA MORAR BEM PARANA DE RENASCENCA",lopes@wln.com.br,RUA GETULIO VARGAS,4635243770.0,Associação Privada,ATIVA,4121604,Renascença
672255,IGREJA VIDEIRA EM CASCAVEL,videira@videiracascavel.com.br,RUA MANAUS,4530355084.0,Organização Religiosa,ATIVA,4104808,Cascavel
672259,IGREJA PRESBITERIANA DO BOSQUE,fercontabil@fercontabil.com,RUA LUIZ TEODORO,4335671478.0,Organização Religiosa,ATIVA,4126306,Sengés
672260,PAROQUIA NOSSA SENHORA APARECIDA EM BOA VISTA DA APARECIDA,PAROQUIABVA@HOTMAIL.COM,"AVENIDA TUPI, TERREO",4598415506.0,Organização Religiosa,ATIVA,4103057,Boa Vista da Aparecida
672264,INSTITUTO DE APOIO AOS PORTADORES DE NECESSIDADES ESPECIAIS E DE CANCER DO BRASIL - INPONEC DO BRASIL,alianca@escritorioalianca.com.br,RUA GUILERMINA LAHMANN,4332544444.0,Associação Privada,INAPTA,4113700,Londrina
672263,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO VERMONT,cleber@minelicontabilidade.com.br,RUA SAULO PORTO VIRMOND 1025,4432243670.0,Associação Privada,Não informado,4115200,Maringá
672262,CVI-PR AVALIACOES,DIRETORIA@CVIPR.COM.BR,"AVENIDA PRESIDENTE GETULIO VARGAS, COND  NAO INFORMADO",4130781212.0,Associação Privada,ATIVA,4106902,Curitiba
672266,ATMOP - ASSOCIACAO DOS TRANSPORTADORES DO MEDIO OESTE DO PARANA,pessoal1@escritoriocontasul.com.br,"RODOVIA PR 239, KM 541,5, TERREO",4532431596.0,Associação Privada,ATIVA,4116703,Nova Aurora
672272,MISSAO EVANGELICA BETANIA,edlupe@hotmail.com,"RODOVIA ALTONIA, KM 5",4403659122.0,Organização Religiosa,ATIVA,4100509,Altônia
672267,ASSOCIACAO TECNICO CIENTIFICA DO OESTE DO PARANA,EXECUTIVO@IGUASSUIT.COM.BR,AVENIDA RIO GRANDE DO SUL,4532845700.0,Associação Privada,ATIVA,4114609,Marechal Cândido Rondon
672265,ASSOCIACAO DE TRANSPORTES DE CARGAS DE CORNELIO PROCOPIO E REGIAO - GRUPO TRB,toninhomfcontab@onda.com.br,"AVENIDA NOSSA SENHORA DE FATIMA, SALA  03",4335242131.0,Associação Privada,INAPTA,4106407,Cornélio Procópio
672273,MISSAO EVANGELICA BETANIA,rogelidi@yahoo.com.br,AVENIDA IGUACU,4103023619.0,Organização Religiosa,ATIVA,4106902,Curitiba
672274,ASSOCIACAO BRASILEIRA DE PEQUENAS CENTRAIS HIDRELETRICAS E CENTRAIS GERADORAS HIDRELETRICAS,FINANCEIRO@ABRAPCH.ORG.BR,"SETOR SRTVN QUADRA 701 CONJUNTO C ALA A, SALA  219",6130454359.0,Associação Privada,ATIVA,4106902,Curitiba
672277,ASSOCIACAO RANCHO SERTANOPOLIS,contabilidademoreira2@hotmail.com,"ACESSO BEIRA DO RIO TIBAGI, LOTE  09 E 10",4332583326.0,Associação Privada,INAPTA,4126504,Sertanópolis
672245,INSTITUTO DEFESA DA CLASSE TRABALHADORA,zrh@zrh.com.br,RUA COMENDADOR ARAUJO,4132337455.0,Associação Privada,ATIVA,4106902,Curitiba
672278,ASSOCIACAO DOS ADVOGADOS DE MARINGA,dp@escritorioamerica.com.br,AVENIDA JUSCELINO K. DE OLIVEIRA,4403031615.0,Associação Privada,INAPTA,4115200,Maringá
672279,ASSOCIACAO DE COMUNICACAO COMUNITARIA DE DESENVOLVIMENTO CULTURAL E ARTISTICO DO JARDIM ALVORADA-ASCODECAL,siscon@siscon.cnt.br,PRACA VICENTE SIMINO,442281313.0,Associação Privada,ATIVA,4115200,Maringá
672282,APABAM ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS DO BAMERINDUS,www.apabam@apabam.com.br,"RUA VOLUNTARIO DA PATRIA, 22 ANDAR SALA 2211",4132324821.0,Associação Privada,ATIVA,4106902,Curitiba
672293,ASSOCIACAO DE MORADORES MARIA LUIZA,acine_cont@hotmail.com,RUA GASPAR DUTRA,452228604.0,Associação Privada,ATIVA,4104808,Cascavel
672285,"O ASILO SAO VICENTE DE PAULO, OBRA UNIDA A SOCIEDADE DE SAO VICENTE DE PAULO",alcides_s@hotmail.com,"RUA LOINS CLUB, TERREO",4230255781.0,Associação Privada,ATIVA,4127106,Telêmaco Borba
672280,CARITAS ARQUIDIOCESANA DE LONDRINA,contato@contabilstoantonio.com.br,"RUA DOM BOSCO, SALA 104",4333473141.0,Associação Privada,ATIVA,4113700,Londrina
672289,ASSOCIACAO BRASILEIRA DE APOSENTADOS E PENSIONISTAS DO INSS - REGIONAL SUL/SUDESTE - AAPI,aapi@brturbo.com.br,"AVENIDA DO BATEL, 1 ANDAR CONJ.06 E 07",4132246237.0,Associação Privada,INAPTA,4106902,Curitiba
672286,ASSOCIACAO DE RADIODIFUSAO CORONEL,betopalmas2@hotmail.com,AVENIDA ARAUCARIA,462622330.0,Associação Privada,ATIVA,4106456,Coronel Domingos Soares
672292,ASSOC TECNICA DAS INDUSTRIAS DE MANDIOCA DO PARANA - ATIMOP,CONTABILIDADE@ESCRITORIOCONTABILRONDON.COM.BR,"ACESSO LINHA APEPU, ZONA RURAL",4584059678.0,Associação Privada,ATIVA,4114609,Marechal Cândido Rondon
672290,ORGANIZACAO REVIVER,almir@comunidade.org.br,RUA PIONEIRA GERTRUDE HECK FRITZEN 5979,4430263444.0,Associação Privada,Não informado,4115200,Maringá
672291,VIDA PROMOCAO SOCIAL (VPS),projetovida@onda.com.br,RUA PROFESSOR ALGACYR MUNHOZ MADER,4132487676.0,Associação Privada,ATIVA,4106902,Curitiba
672281,ASSOC DE PAIS E AMIGOS DOS EXCEP DE BOA VENTURA DE S RO,serginhohey@hotmail.com,RUA MACIEL,4203643117.0,Associação Privada,ATIVA,4103040,Boa Ventura de São Roque
672294,ASSESA UNIAO DAS ASSOCIACOES DE EMPREGADOS DA SANEPAR,ASSESA@ASSESA.COM.BR,RUA ENGENHEIROS REBOUCAS 1376,4133303390.0,Associação Privada,ATIVA,4106902,Curitiba
672287,ASSOCIACAO DE AMPARO AS FAMILIAS CARENTES COM TUBERCULOSE,marcosaact@hotmail.com,RUA BARAO DE TEFFE,4299550508.0,Associação Privada,ATIVA,4119905,Ponta Grossa
672284,NUCLEO DE TECNOLOGIA DA INFORMACAO DO SUDOESTE DO PARANA,EXECUTIVO@NTIPR.ORG.BR,"RUA LIDIO OLTRAMARI, SALA  03",4632259333.0,Associação Privada,ATIVA,4118501,Pato Branco
672139,ASSOCIACAO BENEFICENTE SAO FRANCISCO DE ASSIS,eleuza_borba@hotmail.com,AVENIDA ANGELO MOREIRA DA FONSECA,4403621920.0,Associação Privada,ATIVA,4128104,Umuarama
672296,CRECHE SAGRADA FAMILIA,escfranzo.deppessoal@hotmail.com,RUA OURO BRANCO,4436397993.0,Associação Privada,INAPTA,4128104,Umuarama
